Codigo de Lockets,Area,Area de Lockers,ESTADO,UNIDAD
63,LN,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
64,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
1,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
2,LOG,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
3,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
4,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
5,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
6,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
7,LOG,ADMINISTRACION,LOCKERT ASIGNADO,1
7,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
8,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
9,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
10,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
11,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
12,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
13,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
14,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
15,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
16,LOG,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
17,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
18,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
19,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
20,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
21,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
22,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
23,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
24,LOG,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
24,LOG,VESTIDOR MUJERES,LOCKERT DISPONIBLE,1
25,LOG,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
1,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
2,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
3,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
4,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
5,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
6,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
7,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
8,LYD,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
9,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
10,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
11,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
11,LYD,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
12,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
12,LYD,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
13,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
14,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
15,LYD,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
16,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
17,LYD,ADMINISTRACION,LOCKERT ASIGNADO,1
17,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
18,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
19,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
20,LYD,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
21,LYD,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
22,LYD,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
65,LN,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
26,MTTO,ADMINISTRACION,LOCKERT ASIGNADO,1
1,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
1,PCC,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
2,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
2,PCC,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
3,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
4,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
5,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
6,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
6,PCC,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
7,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
8,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
9,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
10,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
11,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
12,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
13,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
14,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
15,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
16,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
17,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
18,PCC,ADMINISTRACION,LOCKERT ASIGNADO,1
18,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
19,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
20,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
21,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
22,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
23,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
24,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
